"","x"
"CL0000192",91
"CL0000192.1",92
"CL0000192.2",93
"CL0000192.3",93
"CL0000192.4",93
"CL0000192.5",93
"CL0000192.6",91
"CL0000192.7",90
"CL0000192.8",93
"CL0000192.9",91
"CL0000192.10",91
"CL0000192.11",93
"CL0000192.12",92
"CL0000192.13",91
"CL0000192.14",92
"CL0000192.15",91
"CL0000192.16",93
"CL0000192.17",93
"CL0000192.18",92
"CL0000192.19",91
"CL0000192.20",93
"CL0000192.21",93
"CL0000192.22",91
"CL0000192.23",91
"CL0000192.24",93
"CL0000192.25",91
"CL0000192.26",91
"CL0000192.27",91
"CL0000192.28",92
"CL0000192.29",93
"CL0000192.30",92
"CL0000192.31",93
"CL0000192.32",93
"CL0000192.33",91
"CL0000192.34",92
"CL0000192.35",93
"CL0000192.36",91
"CL0000192.37",93
"CL0000192.38",91
"CL0000192.39",93
"CL0000192.40",92
"CL0000192.41",91
"CL0000192.42",91
"CL0000192.43",91
"CL0000192.44",93
"CL0000192.45",91
"CL0000192.46",91
"CL0000192.47",91
"CL0000192.48",91
"CL0000192.49",93
"CL0000192.50",93
"CL0000192.51",91
"CL0000192.52",93
"CL0000192.53",93
"CL0000192.54",93
"CL0000192.55",91
"CL0000192.56",92
"CL0000192.57",93
"CL0000192.58",93
"CL0000192.59",92
"CL0000192.60",91
"CL0000192.61",93
"CL0000192.62",91
"CL0000192.63",91
"CL0000192.64",93
"CL0000192.65",91
"CL0000192.66",92
"CL0000192.67",92
"CL0000192.68",93
"CL0000192.69",91
"CL0000192.70",92
"CL0000192.71",93
"CL0000192.72",93
"CL0000192.73",92
"CL0000192.74",91
"CL0000192.75",91
"CL0000192.76",93
"CL0000192.77",91
"CL0000192.78",92
"CL0000192.79",92
"CL0000192.80",93
"CL0000192.81",93
"CL0000192.82",93
"CL0000192.83",91
"CL0000192.84",92
"CL0000192.85",93
"CL0000192.86",91
"CL0000192.87",91
"CL0000192.88",93
"CL0000192.89",91
"CL0000192.90",92
"CL0000192.91",93
"CL0000192.92",93
"CL0000192.93",93
"CL0000192.94",91
"CL0000192.95",93
"CL0000192.96",91
"CL0000192.97",93
"CL0000192.98",91
"CL0000192.99",93
"CL0000192.100",93
"CL0000192.101",93
"CL0000192.102",93
"CL0000192.103",91
"CL0000192.104",83
"CL0000192.105",93
"CL0000192.106",91
"CL0000192.107",92
"CL0000192.108",82
"CL0000192.109",92
"CL0000192.110",91
"CL0000192.111",91
"CL0000192.112",91
"CL0000192.113",91
"CL0000192.114",93
"CL0000192.115",93
"CL0000192.116",91
"CL0000192.117",93
"CL0000192.118",93
"CL0000192.119",93
"CL0000192.120",91
"CL0000192.121",91
"CL0000192.122",91
"CL0000192.123",93
"CL0000192.124",91
"CL0000192.125",91
"CL0000192.126",93
"CL0000192.127",92
"CL0000192.128",91
"CL0000192.129",90
"CL0000192.130",93
"CL0000192.131",93
"CL0000192.132",92
"CL0000192.133",93
"CL0000192.134",91
"CL0000192.135",91
"CL0000192.136",91
"CL0000192.137",93
"CL0000192.138",93
"CL0000192.139",93
"CL0000192.140",92
"CL0000192.141",92
"CL0000192.142",91
"CL0000192.143",91
"CL0000192.144",93
"CL0000192.145",91
"CL0000192.146",93
"CL0000192.147",93
"CL0000192.148",92
"CL0000192.149",91
"CL0000192.150",91
"CL0000192.151",92
"CL0000192.152",93
"CL0000192.153",91
"CL0000192.154",92
"CL0000192.155",93
"CL0000192.156",91
"CL0000192.157",92
"CL0000192.158",91
"CL0000192.159",91
"CL0000192.160",91
"CL0000192.161",91
"CL0000192.162",91
"CL0000192.163",91
"CL0000192.164",91
"CL0000192.165",91
"CL0000192.166",91
"CL0000192.167",93
"CL0000192.168",93
"CL0000192.169",93
"CL0000192.170",92
"CL0000192.171",91
"CL0000192.172",93
"CL0000192.173",91
"CL0000192.174",93
"CL0000192.175",93
"CL0000192.176",91
"CL0000192.177",92
"CL0000192.178",92
"CL0000192.179",91
"CL0000192.180",92
"CL0000192.181",93
"CL0000192.182",91
"CL0000192.183",91
"CL0000192.184",93
"CL0000192.185",93
"CL0000192.186",91
"CL0000192.187",91
"CL0000192.188",91
"CL0000192.189",92
"CL0000192.190",93
"CL0000192.191",91
"CL0000192.192",91
"CL0000192.193",92
"CL0000192.194",91
"CL0000192.195",91
"CL0000192.196",91
"CL0000192.197",93
"CL0000192.198",93
"CL0000192.199",93
"CL0000192.200",91
"CL0000192.201",93
"CL0000192.202",91
"CL0000192.203",93
"CL0000192.204",91
"CL0000192.205",91
"CL0000192.206",91
"CL0000192.207",93
"CL0000192.208",93
"CL0000192.209",93
"CL0000192.210",93
"CL0000192.211",93
"CL0000192.212",91
"CL0000192.213",91
"CL0000192.214",93
"CL0000192.215",91
"CL0000192.216",93
"CL0000192.217",91
"CL0000192.218",93
"CL0000192.219",92
"CL0000192.220",93
"CL0000192.221",92
"CL0000192.222",90
"CL0000192.223",91
"CL0000192.224",93
"CL0000192.225",92
"CL0000192.226",91
"CL0000192.227",91
"CL0000192.228",92
"CL0000192.229",93
"CL0000192.230",93
"CL0000192.231",78
"CL0000192.232",91
"CL0000192.233",93
"CL0000192.234",91
"CL0000192.235",93
"CL0000192.236",91
"CL0000192.237",91
"CL0000192.238",92
"CL0000192.239",93
"CL0000192.240",91
"CL0000192.241",93
"CL0000192.242",93
"CL0000192.243",93
"CL0000192.244",93
"CL0000192.245",93
"CL0000192.246",93
"CL0000192.247",93
"CL0000192.248",93
"CL0000192.249",92
"CL0000192.250",93
"CL0000192.251",91
"CL0000192.252",91
"CL0000192.253",93
"CL0000192.254",91
"CL0000192.255",91
"CL0000192.256",93
"CL0000192.257",93
"CL0000192.258",93
"CL0000192.259",91
"CL0000192.260",93
"CL0000192.261",93
"CL0000192.262",92
"CL0000192.263",91
"CL0000192.264",93
"CL0000192.265",92
"CL0000192.266",92
"CL0000192.267",93
"CL0000192.268",92
"CL0000192.269",93
"CL0000192.270",91
"CL0000192.271",91
"CL0000192.272",91
"CL0000192.273",93
"CL0000192.274",93
"CL0000192.275",92
"CL0000192.276",92
"CL0000192.277",93
"CL0000192.278",93
"CL0000192.279",91
"CL0000192.280",91
"CL0000192.281",92
"CL0000192.282",91
"CL0000192.283",93
"CL0000192.284",92
"CL0000192.285",93
"CL0000192.286",91
"CL0000192.287",91
"CL0000192.288",93
"CL0000192.289",93
"CL0000192.290",91
"CL0000192.291",79
"CL0000192.292",93
"CL0000192.293",91
"CL0000192.294",92
"CL0000192.295",91
"CL0000192.296",93
"CL0000192.297",93
"CL0000192.298",93
"CL0000192.299",91
"CL0000192.300",93
"CL0000192.301",91
"CL0000192.302",92
"CL0000192.303",92
"CL0000192.304",91
"CL0000192.305",91
"CL0000192.306",93
"CL0000192.307",93
"CL0000192.308",92
"CL0000192.309",93
"CL0000192.310",91
"CL0000192.311",93
"CL0000192.312",92
"CL0000192.313",93
"CL0000192.314",91
"CL0000192.315",93
"CL0000192.316",93
"CL0000192.317",91
"CL0000192.318",91
"CL0000192.319",91
"CL0000192.320",92
"CL0000192.321",92
"CL0000192.322",93
"CL0000192.323",93
"CL0000192.324",93
"CL0000192.325",93
"CL0000192.326",92
"CL0000192.327",92
"CL0000192.328",93
"CL0000192.329",92
"CL0000192.330",92
"CL0000192.331",92
"CL0000192.332",93
"CL0000192.333",91
"CL0000192.334",91
"CL0000192.335",91
"CL0000192.336",93
"CL0000192.337",91
"CL0000192.338",78
"CL0000192.339",82
"CL0000192.340",87
"CL0000192.341",79
"CL0000192.342",84
"CL0000192.343",85
"CL0000192.344",80
"CL0000192.345",80
"CL0000192.346",79
"CL0000192.347",82
"CL0000192.348",78
"CL0000192.349",89
"CL0000192.350",78
"CL0000192.351",79
"CL0000192.352",84
"CL0000192.353",82
"CL0000192.354",84
"CL0000192.355",84
"CL0000192.356",89
"CL0000192.357",79
"CL0000192.358",79
"CL0000192.359",89
"CL0000192.360",80
"CL0000192.361",89
"CL0000192.362",78
"CL0000192.363",90
"CL0000192.364",88
"CL0000192.365",86
"CL0000192.366",82
"CL0000192.367",78
"CL0000192.368",78
"CL0000192.369",79
"CL0000192.370",90
"CL0000192.371",78
"CL0000192.372",89
"CL0000192.373",84
"CL0000192.374",78
"CL0000192.375",87
"CL0000192.376",82
"CL0000192.377",88
"CL0000192.378",82
"CL0000192.379",81
"CL0000192.380",82
"CL0000192.381",86
"CL0000192.382",78
"CL0000192.383",88
"CL0000192.384",80
"CL0000192.385",85
"CL0000192.386",89
"CL0000192.387",88
"CL0000192.388",84
"CL0000192.389",89
"CL0000192.390",89
"CL0000192.391",78
"CL0000192.392",79
"CL0000192.393",78
"CL0000192.394",89
"CL0000192.395",89
"CL0000192.396",82
"CL0000192.397",78
"CL0000192.398",88
"CL0000192.399",78
"CL0000192.400",78
"CL0000192.401",89
"CL0000192.402",86
"CL0000192.403",78
"CL0000192.404",89
"CL0000192.405",79
"CL0000192.406",81
"CL0000192.407",88
"CL0000192.408",89
"CL0000192.409",79
"CL0000192.410",83
"CL0000192.411",89
"CL0000192.412",84
"CL0000192.413",89
"CL0000192.414",79
"CL0000192.415",88
"CL0000192.416",88
"CL0000192.417",78
"CL0000192.418",89
"CL0000192.419",82
"CL0000192.420",80
"CL0000192.421",87
"CL0000192.422",79
"CL0000192.423",78
"CL0000192.424",89
"CL0000192.425",84
"CL0000192.426",79
"CL0000192.427",78
"CL0000192.428",82
"CL0000192.429",86
"CL0000192.430",89
"CL0000192.431",82
"CL0000192.432",84
"CL0000192.433",88
"CL0000192.434",89
"CL0000192.435",84
"CL0000192.436",86
"CL0000192.437",89
"CL0000192.438",78
"CL0000192.439",88
"CL0000192.440",89
"CL0000192.441",89
"CL0000192.442",84
"CL0000192.443",78
"CL0000192.444",89
"CL0000192.445",89
"CL0000192.446",78
"CL0000192.447",78
"CL0000192.448",78
"CL0000192.449",89
"CL0000192.450",79
"CL0000192.451",90
"CL0000192.452",78
"CL0000192.453",84
"CL0000192.454",79
"CL0000192.455",87
"CL0000192.456",89
"CL0000192.457",88
