"","x"
"CL0000192",23
"CL0000192.1",23
"CL0000192.2",23
"CL0000192.3",23
"CL0000192.4",23
"CL0000192.5",23
"CL0000192.6",23
"CL0000192.7",23
"CL0000192.8",23
"CL0000192.9",23
"CL0000192.10",23
"CL0000192.11",23
"CL0000192.12",23
"CL0000192.13",23
"CL0000192.14",23
"CL0000192.15",23
"CL0000192.16",23
"CL0000192.17",23
"CL0000192.18",23
"CL0000192.19",23
"CL0000192.20",23
"CL0000192.21",23
"CL0000192.22",23
"CL0000192.23",23
"CL0000192.24",23
"CL0000192.25",23
"CL0000192.26",23
"CL0000192.27",23
"CL0000192.28",23
"CL0000192.29",23
"CL0000192.30",23
"CL0000192.31",23
"CL0000192.32",23
"CL0000192.33",23
"CL0000192.34",23
"CL0000192.35",23
"CL0000192.36",23
"CL0000192.37",23
"CL0000192.38",23
"CL0000192.39",23
"CL0000192.40",23
"CL0000192.41",23
"CL0000192.42",23
"CL0000192.43",23
"CL0000192.44",23
"CL0000192.45",23
"CL0000192.46",23
"CL0000192.47",23
"CL0000192.48",23
"CL0000192.49",23
"CL0000192.50",23
"CL0000192.51",23
"CL0000192.52",23
"CL0000192.53",23
"CL0000192.54",23
"CL0000192.55",23
"CL0000192.56",23
"CL0000192.57",23
"CL0000192.58",23
"CL0000192.59",23
"CL0000192.60",23
"CL0000192.61",23
"CL0000192.62",23
"CL0000192.63",23
"CL0000192.64",23
"CL0000192.65",23
"CL0000192.66",23
"CL0000192.67",23
"CL0000192.68",23
"CL0000192.69",23
"CL0000192.70",23
"CL0000192.71",23
"CL0000192.72",23
"CL0000192.73",23
"CL0000192.74",23
"CL0000192.75",23
"CL0000192.76",23
"CL0000192.77",23
"CL0000192.78",23
"CL0000192.79",23
"CL0000192.80",23
"CL0000192.81",23
"CL0000192.82",23
"CL0000192.83",23
"CL0000192.84",23
"CL0000192.85",23
"CL0000192.86",23
"CL0000192.87",23
"CL0000192.88",23
"CL0000192.89",23
"CL0000192.90",23
"CL0000192.91",23
"CL0000192.92",23
"CL0000192.93",23
"CL0000192.94",23
"CL0000192.95",23
"CL0000192.96",23
"CL0000192.97",23
"CL0000192.98",23
"CL0000192.99",23
"CL0000192.100",23
"CL0000192.101",23
"CL0000192.102",23
"CL0000192.103",23
"CL0000192.104",23
"CL0000192.105",23
"CL0000192.106",23
"CL0000192.107",23
"CL0000192.108",24
"CL0000192.109",23
"CL0000192.110",23
"CL0000192.111",23
"CL0000192.112",23
"CL0000192.113",23
"CL0000192.114",23
"CL0000192.115",23
"CL0000192.116",23
"CL0000192.117",23
"CL0000192.118",23
"CL0000192.119",23
"CL0000192.120",23
"CL0000192.121",23
"CL0000192.122",23
"CL0000192.123",23
"CL0000192.124",23
"CL0000192.125",23
"CL0000192.126",23
"CL0000192.127",23
"CL0000192.128",23
"CL0000192.129",23
"CL0000192.130",23
"CL0000192.131",23
"CL0000192.132",23
"CL0000192.133",23
"CL0000192.134",23
"CL0000192.135",23
"CL0000192.136",23
"CL0000192.137",23
"CL0000192.138",23
"CL0000192.139",23
"CL0000192.140",24
"CL0000192.141",23
"CL0000192.142",23
"CL0000192.143",23
"CL0000192.144",23
"CL0000192.145",23
"CL0000192.146",23
"CL0000192.147",23
"CL0000192.148",23
"CL0000192.149",23
"CL0000192.150",23
"CL0000192.151",23
"CL0000192.152",23
"CL0000192.153",23
"CL0000192.154",23
"CL0000192.155",23
"CL0000192.156",23
"CL0000192.157",23
"CL0000192.158",23
"CL0000192.159",23
"CL0000192.160",23
"CL0000192.161",23
"CL0000192.162",23
"CL0000192.163",23
"CL0000192.164",23
"CL0000192.165",23
"CL0000192.166",23
"CL0000192.167",23
"CL0000192.168",23
"CL0000192.169",23
"CL0000192.170",23
"CL0000192.171",23
"CL0000192.172",23
"CL0000192.173",23
"CL0000192.174",23
"CL0000192.175",23
"CL0000192.176",23
"CL0000192.177",23
"CL0000192.178",23
"CL0000192.179",23
"CL0000192.180",23
"CL0000192.181",23
"CL0000192.182",23
"CL0000192.183",23
"CL0000192.184",23
"CL0000192.185",23
"CL0000192.186",23
"CL0000192.187",23
"CL0000192.188",23
"CL0000192.189",23
"CL0000192.190",23
"CL0000192.191",23
"CL0000192.192",23
"CL0000192.193",23
"CL0000192.194",23
"CL0000192.195",23
"CL0000192.196",23
"CL0000192.197",23
"CL0000192.198",23
"CL0000192.199",23
"CL0000192.200",23
"CL0000192.201",23
"CL0000192.202",23
"CL0000192.203",23
"CL0000192.204",23
"CL0000192.205",23
"CL0000192.206",23
"CL0000192.207",23
"CL0000192.208",23
"CL0000192.209",23
"CL0000192.210",23
"CL0000192.211",23
"CL0000192.212",23
"CL0000192.213",23
"CL0000192.214",23
"CL0000192.215",23
"CL0000192.216",23
"CL0000192.217",23
"CL0000192.218",23
"CL0000192.219",23
"CL0000192.220",23
"CL0000192.221",23
"CL0000192.222",23
"CL0000192.223",23
"CL0000192.224",23
"CL0000192.225",23
"CL0000192.226",23
"CL0000192.227",23
"CL0000192.228",23
"CL0000192.229",23
"CL0000192.230",23
"CL0000192.231",25
"CL0000192.232",23
"CL0000192.233",23
"CL0000192.234",23
"CL0000192.235",23
"CL0000192.236",23
"CL0000192.237",23
"CL0000192.238",23
"CL0000192.239",23
"CL0000192.240",23
"CL0000192.241",23
"CL0000192.242",23
"CL0000192.243",23
"CL0000192.244",23
"CL0000192.245",23
"CL0000192.246",23
"CL0000192.247",23
"CL0000192.248",23
"CL0000192.249",23
"CL0000192.250",23
"CL0000192.251",23
"CL0000192.252",23
"CL0000192.253",23
"CL0000192.254",23
"CL0000192.255",23
"CL0000192.256",23
"CL0000192.257",23
"CL0000192.258",23
"CL0000192.259",23
"CL0000192.260",23
"CL0000192.261",23
"CL0000192.262",23
"CL0000192.263",23
"CL0000192.264",23
"CL0000192.265",23
"CL0000192.266",23
"CL0000192.267",23
"CL0000192.268",23
"CL0000192.269",23
"CL0000192.270",23
"CL0000192.271",23
"CL0000192.272",23
"CL0000192.273",23
"CL0000192.274",23
"CL0000192.275",23
"CL0000192.276",23
"CL0000192.277",23
"CL0000192.278",23
"CL0000192.279",23
"CL0000192.280",23
"CL0000192.281",23
"CL0000192.282",23
"CL0000192.283",23
"CL0000192.284",23
"CL0000192.285",23
"CL0000192.286",23
"CL0000192.287",23
"CL0000192.288",23
"CL0000192.289",23
"CL0000192.290",23
"CL0000192.291",25
"CL0000192.292",23
"CL0000192.293",23
"CL0000192.294",23
"CL0000192.295",23
"CL0000192.296",23
"CL0000192.297",23
"CL0000192.298",23
"CL0000192.299",23
"CL0000192.300",23
"CL0000192.301",23
"CL0000192.302",23
"CL0000192.303",23
"CL0000192.304",23
"CL0000192.305",23
"CL0000192.306",23
"CL0000192.307",23
"CL0000192.308",23
"CL0000192.309",23
"CL0000192.310",23
"CL0000192.311",23
"CL0000192.312",23
"CL0000192.313",23
"CL0000192.314",23
"CL0000192.315",23
"CL0000192.316",23
"CL0000192.317",23
"CL0000192.318",23
"CL0000192.319",23
"CL0000192.320",23
"CL0000192.321",23
"CL0000192.322",23
"CL0000192.323",23
"CL0000192.324",23
"CL0000192.325",23
"CL0000192.326",23
"CL0000192.327",23
"CL0000192.328",23
"CL0000192.329",23
"CL0000192.330",23
"CL0000192.331",23
"CL0000192.332",23
"CL0000192.333",23
"CL0000192.334",23
"CL0000192.335",23
"CL0000192.336",23
"CL0000192.337",23
"CL0000192.338",25
"CL0000192.339",24
"CL0000192.340",24
"CL0000192.341",25
"CL0000192.342",24
"CL0000192.343",24
"CL0000192.344",24
"CL0000192.345",24
"CL0000192.346",25
"CL0000192.347",24
"CL0000192.348",25
"CL0000192.349",25
"CL0000192.350",25
"CL0000192.351",25
"CL0000192.352",24
"CL0000192.353",24
"CL0000192.354",25
"CL0000192.355",24
"CL0000192.356",25
"CL0000192.357",25
"CL0000192.358",25
"CL0000192.359",25
"CL0000192.360",24
"CL0000192.361",25
"CL0000192.362",25
"CL0000192.363",21
"CL0000192.364",25
"CL0000192.365",24
"CL0000192.366",24
"CL0000192.367",25
"CL0000192.368",25
"CL0000192.369",25
"CL0000192.370",21
"CL0000192.371",25
"CL0000192.372",25
"CL0000192.373",24
"CL0000192.374",25
"CL0000192.375",24
"CL0000192.376",24
"CL0000192.377",25
"CL0000192.378",24
"CL0000192.379",24
"CL0000192.380",24
"CL0000192.381",24
"CL0000192.382",25
"CL0000192.383",25
"CL0000192.384",25
"CL0000192.385",25
"CL0000192.386",25
"CL0000192.387",25
"CL0000192.388",25
"CL0000192.389",25
"CL0000192.390",24
"CL0000192.391",25
"CL0000192.392",25
"CL0000192.393",25
"CL0000192.394",25
"CL0000192.395",25
"CL0000192.396",24
"CL0000192.397",25
"CL0000192.398",25
"CL0000192.399",25
"CL0000192.400",25
"CL0000192.401",25
"CL0000192.402",25
"CL0000192.403",25
"CL0000192.404",25
"CL0000192.405",25
"CL0000192.406",25
"CL0000192.407",25
"CL0000192.408",25
"CL0000192.409",25
"CL0000192.410",24
"CL0000192.411",25
"CL0000192.412",25
"CL0000192.413",25
"CL0000192.414",25
"CL0000192.415",25
"CL0000192.416",25
"CL0000192.417",25
"CL0000192.418",25
"CL0000192.419",24
"CL0000192.420",24
"CL0000192.421",25
"CL0000192.422",25
"CL0000192.423",25
"CL0000192.424",25
"CL0000192.425",24
"CL0000192.426",25
"CL0000192.427",25
"CL0000192.428",24
"CL0000192.429",24
"CL0000192.430",25
"CL0000192.431",24
"CL0000192.432",25
"CL0000192.433",25
"CL0000192.434",25
"CL0000192.435",24
"CL0000192.436",24
"CL0000192.437",25
"CL0000192.438",25
"CL0000192.439",25
"CL0000192.440",25
"CL0000192.441",25
"CL0000192.442",24
"CL0000192.443",25
"CL0000192.444",25
"CL0000192.445",25
"CL0000192.446",25
"CL0000192.447",25
"CL0000192.448",25
"CL0000192.449",25
"CL0000192.450",25
"CL0000192.451",25
"CL0000192.452",25
"CL0000192.453",25
"CL0000192.454",25
"CL0000192.455",25
"CL0000192.456",25
"CL0000192.457",25
"CL0000192.458",24
"CL0000192.459",25
"CL0000192.460",25
"CL0000192.461",25
"CL0000192.462",25
"CL0000192.463",24
"CL0000192.464",25
"CL0000192.465",25
"CL0000192.466",24
"CL0000192.467",25
"CL0000192.468",25
"CL0000192.469",25
"CL0000192.470",24
"CL0000192.471",24
"CL0000192.472",21
"CL0000192.473",25
"CL0000192.474",25
"CL0000192.475",25
"CL0000192.476",24
"CL0000192.477",25
"CL0000192.478",25
"CL0000192.479",25
"CL0000192.480",25
"CL0000192.481",24
"CL0000192.482",24
"CL0000192.483",25
"CL0000192.484",24
"CL0000192.485",24
"CL0000192.486",24
"CL0000192.487",25
"CL0000192.488",25
"CL0000192.489",25
"CL0000192.490",25
"CL0000192.491",24
"CL0000192.492",25
"CL0000192.493",25
"CL0000192.494",25
"CL0000192.495",25
"CL0000192.496",25
"CL0000192.497",24
"CL0000192.498",25
"CL0000192.499",25
"CL0000192.500",24
"CL0000192.501",24
"CL0000192.502",25
"CL0000192.503",25
"CL0000192.504",25
"CL0000192.505",25
"CL0000192.506",24
"CL0000192.507",25
"CL0000192.508",25
"CL0000192.509",24
"CL0000192.510",25
"CL0000192.511",25
"CL0000192.512",25
"CL0000192.513",25
"CL0000192.514",24
"CL0000192.515",25
"CL0000192.516",24
"CL0000192.517",25
"CL0000192.518",25
"CL0000192.519",25
"CL0000192.520",24
"CL0000192.521",25
"CL0000192.522",25
"CL0000192.523",24
"CL0000192.524",24
"CL0000192.525",25
"CL0000192.526",25
"CL0000192.527",25
"CL0000192.528",25
"CL0000192.529",25
"CL0000192.530",25
"CL0000192.531",25
"CL0000192.532",25
"CL0000192.533",25
"CL0000192.534",24
"CL0000192.535",25
"CL0000192.536",25
"CL0000192.537",25
"CL0000192.538",25
"CL0000192.539",25
"CL0000192.540",24
"CL0000192.541",25
"CL0000192.542",25
"CL0000192.543",25
"CL0000192.544",24
"CL0000192.545",25
"CL0000192.546",25
"CL0000192.547",25
"CL0000192.548",25
"CL0000192.549",25
"CL0000192.550",25
"CL0000192.551",25
"CL0000192.552",25
"CL0000192.553",25
"CL0000192.554",25
"CL0000192.555",25
"CL0000192.556",25
"CL0000192.557",25
"CL0000192.558",25
"CL0000192.559",24
"CL0000192.560",25
"CL0000192.561",25
"CL0000192.562",25
"CL0000192.563",25
"CL0000192.564",24
"CL0000192.565",25
"CL0000192.566",24
"CL0000192.567",25
"CL0000192.568",25
"CL0000192.569",24
"CL0000192.570",25
"CL0000192.571",25
"CL0000192.572",25
"CL0000192.573",24
"CL0000192.574",24
"CL0000192.575",25
"CL0000192.576",24
