"","x"
"CL0000192",96
"CL0000192.1",97
"CL0000192.2",97
"CL0000192.3",97
"CL0000192.4",97
"CL0000192.5",97
"CL0000192.6",96
"CL0000192.7",117
"CL0000192.8",97
"CL0000192.9",96
"CL0000192.10",96
"CL0000192.11",97
"CL0000192.12",96
"CL0000192.13",96
"CL0000192.14",96
"CL0000192.15",96
"CL0000192.16",97
"CL0000192.17",97
"CL0000192.18",96
"CL0000192.19",96
"CL0000192.20",97
"CL0000192.21",97
"CL0000192.22",96
"CL0000192.23",96
"CL0000192.24",97
"CL0000192.25",96
"CL0000192.26",96
"CL0000192.27",96
"CL0000192.28",96
"CL0000192.29",97
"CL0000192.30",96
"CL0000192.31",97
"CL0000192.32",97
"CL0000192.33",117
"CL0000192.34",96
"CL0000192.35",97
"CL0000192.36",96
"CL0000192.37",97
"CL0000192.38",96
"CL0000192.39",97
"CL0000192.40",96
"CL0000192.41",96
"CL0000192.42",96
"CL0000192.43",96
"CL0000192.44",97
"CL0000192.45",96
"CL0000192.46",96
"CL0000192.47",96
"CL0000192.48",96
"CL0000192.49",97
"CL0000192.50",97
"CL0000192.51",96
"CL0000192.52",97
"CL0000192.53",97
"CL0000192.54",97
"CL0000192.55",117
"CL0000192.56",96
"CL0000192.57",97
"CL0000192.58",97
"CL0000192.59",96
"CL0000192.60",97
"CL0000192.61",97
"CL0000192.62",96
"CL0000192.63",96
"CL0000192.64",97
"CL0000192.65",96
"CL0000192.66",97
"CL0000192.67",96
"CL0000192.68",97
"CL0000192.69",96
"CL0000192.70",96
"CL0000192.71",97
"CL0000192.72",97
"CL0000192.73",96
"CL0000192.74",96
"CL0000192.75",96
"CL0000192.76",97
"CL0000192.77",96
"CL0000192.78",96
"CL0000192.79",96
"CL0000192.80",97
"CL0000192.81",97
"CL0000192.82",97
"CL0000192.83",117
"CL0000192.84",96
"CL0000192.85",97
"CL0000192.86",96
"CL0000192.87",117
"CL0000192.88",97
"CL0000192.89",96
"CL0000192.90",96
"CL0000192.91",97
"CL0000192.92",97
"CL0000192.93",97
"CL0000192.94",117
"CL0000192.95",97
"CL0000192.96",96
"CL0000192.97",97
"CL0000192.98",96
"CL0000192.99",97
"CL0000192.100",97
"CL0000192.101",97
"CL0000192.102",97
"CL0000192.103",96
"CL0000192.104",111
"CL0000192.105",97
"CL0000192.106",96
"CL0000192.107",96
"CL0000192.108",102
"CL0000192.109",96
"CL0000192.110",96
"CL0000192.111",96
"CL0000192.112",117
"CL0000192.113",96
"CL0000192.114",97
"CL0000192.115",97
"CL0000192.116",96
"CL0000192.117",97
"CL0000192.118",97
"CL0000192.119",97
"CL0000192.120",117
"CL0000192.121",96
"CL0000192.122",96
"CL0000192.123",97
"CL0000192.124",117
"CL0000192.125",96
"CL0000192.126",97
"CL0000192.127",97
"CL0000192.128",96
"CL0000192.129",117
"CL0000192.130",97
"CL0000192.131",97
"CL0000192.132",96
"CL0000192.133",97
"CL0000192.134",117
"CL0000192.135",96
"CL0000192.136",96
"CL0000192.137",97
"CL0000192.138",97
"CL0000192.139",97
"CL0000192.140",96
"CL0000192.141",96
"CL0000192.142",96
"CL0000192.143",96
"CL0000192.144",97
"CL0000192.145",96
"CL0000192.146",97
"CL0000192.147",97
"CL0000192.148",96
"CL0000192.149",96
"CL0000192.150",96
"CL0000192.151",96
"CL0000192.152",97
"CL0000192.153",96
"CL0000192.154",96
"CL0000192.155",97
"CL0000192.156",117
"CL0000192.157",96
"CL0000192.158",96
"CL0000192.159",96
"CL0000192.160",96
"CL0000192.161",96
"CL0000192.162",96
"CL0000192.163",96
"CL0000192.164",96
"CL0000192.165",96
"CL0000192.166",96
"CL0000192.167",97
"CL0000192.168",97
"CL0000192.169",97
"CL0000192.170",97
"CL0000192.171",96
"CL0000192.172",97
"CL0000192.173",96
"CL0000192.174",97
"CL0000192.175",96
"CL0000192.176",96
"CL0000192.177",97
"CL0000192.178",96
"CL0000192.179",96
"CL0000192.180",96
"CL0000192.181",97
"CL0000192.182",96
"CL0000192.183",96
"CL0000192.184",97
"CL0000192.185",97
"CL0000192.186",96
"CL0000192.187",96
"CL0000192.188",117
"CL0000192.189",96
"CL0000192.190",97
"CL0000192.191",96
"CL0000192.192",96
"CL0000192.193",96
"CL0000192.194",96
"CL0000192.195",96
"CL0000192.196",96
"CL0000192.197",97
"CL0000192.198",97
"CL0000192.199",97
"CL0000192.200",96
"CL0000192.201",97
"CL0000192.202",96
"CL0000192.203",97
"CL0000192.204",96
"CL0000192.205",96
"CL0000192.206",96
"CL0000192.207",97
"CL0000192.208",97
"CL0000192.209",97
"CL0000192.210",97
"CL0000192.211",97
"CL0000192.212",96
"CL0000192.213",96
"CL0000192.214",97
"CL0000192.215",96
"CL0000192.216",97
"CL0000192.217",96
"CL0000192.218",96
"CL0000192.219",96
"CL0000192.220",97
"CL0000192.221",96
"CL0000192.222",117
"CL0000192.223",96
"CL0000192.224",97
"CL0000192.225",96
"CL0000192.226",96
"CL0000192.227",96
"CL0000192.228",96
"CL0000192.229",97
"CL0000192.230",97
"CL0000192.231",106
"CL0000192.232",96
"CL0000192.233",97
"CL0000192.234",96
"CL0000192.235",97
"CL0000192.236",96
"CL0000192.237",96
"CL0000192.238",96
"CL0000192.239",97
"CL0000192.240",96
"CL0000192.241",97
"CL0000192.242",97
"CL0000192.243",97
"CL0000192.244",97
"CL0000192.245",97
"CL0000192.246",97
"CL0000192.247",97
"CL0000192.248",97
"CL0000192.249",96
"CL0000192.250",97
"CL0000192.251",96
"CL0000192.252",96
"CL0000192.253",97
"CL0000192.254",96
"CL0000192.255",96
"CL0000192.256",97
"CL0000192.257",97
"CL0000192.258",97
"CL0000192.259",96
"CL0000192.260",97
"CL0000192.261",97
"CL0000192.262",96
"CL0000192.263",96
"CL0000192.264",97
"CL0000192.265",97
"CL0000192.266",96
"CL0000192.267",97
"CL0000192.268",96
"CL0000192.269",97
"CL0000192.270",117
"CL0000192.271",96
"CL0000192.272",96
"CL0000192.273",97
"CL0000192.274",97
"CL0000192.275",96
"CL0000192.276",96
"CL0000192.277",97
"CL0000192.278",97
"CL0000192.279",96
"CL0000192.280",96
"CL0000192.281",96
"CL0000192.282",96
"CL0000192.283",97
"CL0000192.284",96
"CL0000192.285",97
"CL0000192.286",96
"CL0000192.287",96
"CL0000192.288",97
"CL0000192.289",97
"CL0000192.290",96
"CL0000192.291",107
"CL0000192.292",97
"CL0000192.293",96
"CL0000192.294",96
"CL0000192.295",96
"CL0000192.296",97
"CL0000192.297",97
"CL0000192.298",97
"CL0000192.299",96
"CL0000192.300",97
"CL0000192.301",96
"CL0000192.302",96
"CL0000192.303",96
"CL0000192.304",96
"CL0000192.305",117
"CL0000192.306",97
"CL0000192.307",97
"CL0000192.308",96
"CL0000192.309",97
"CL0000192.310",96
"CL0000192.311",96
"CL0000192.312",96
"CL0000192.313",97
"CL0000192.314",96
"CL0000192.315",97
"CL0000192.316",96
"CL0000192.317",96
"CL0000192.318",96
"CL0000192.319",96
"CL0000192.320",96
"CL0000192.321",96
"CL0000192.322",97
"CL0000192.323",97
"CL0000192.324",97
"CL0000192.325",97
"CL0000192.326",96
"CL0000192.327",96
"CL0000192.328",97
"CL0000192.329",96
"CL0000192.330",97
"CL0000192.331",96
"CL0000192.332",97
"CL0000192.333",117
"CL0000192.334",96
"CL0000192.335",96
"CL0000192.336",97
"CL0000192.337",96
"CL0000192.338",106
"CL0000192.339",102
"CL0000192.340",108
"CL0000192.341",107
"CL0000192.342",105
"CL0000192.343",105
"CL0000192.344",110
"CL0000192.345",109
"CL0000192.346",107
"CL0000192.347",102
"CL0000192.348",106
"CL0000192.349",98
"CL0000192.350",106
"CL0000192.351",107
"CL0000192.352",105
"CL0000192.353",102
"CL0000192.354",99
"CL0000192.355",105
"CL0000192.356",99
"CL0000192.357",107
"CL0000192.358",107
"CL0000192.359",99
"CL0000192.360",109
"CL0000192.361",99
"CL0000192.362",106
"CL0000192.363",116
"CL0000192.364",100
"CL0000192.365",101
"CL0000192.366",102
"CL0000192.367",106
"CL0000192.368",106
"CL0000192.369",107
"CL0000192.370",116
